INSEE_CO P12_POP POSTAL_C LIB ATIH_COM ATIH_POP POSTAL_P POP_V OK Nom_de_la_commune POSTAL_COM LibellÈ_d_acheminement Territoire LibTerr
94011 16439 94380 BONNEUIL-SUR-MARNE 94380 16439 16439 16439 1 "BONNEUIL SUR MARNE" 94380 "BONNEUIL SUR MARNE" T11 "T11 Plaine Centrale - Haut Val-de-Marne - Plateau Briand"
94081 88102 94400 VITRY-SUR-SEINE 94400 88102 88102 88102 1 "VITRY SUR SEINE" 94400 "VITRY SUR SEINE" T12 "T12 Val de Bièvres - Seine Amont - Grand Orly"
94069 14870 94410 SAINT-MAURICE 94410 14870 14870 14870 1 "ST MAURICE" 94410 "ST MAURICE" T10 "T10 ACTEP"
94059 18976 94420 "LE PLESSIS-TREVISE" 94420 18976 18976 18976 1 "LE PLESSIS TREVISE" 94420 "LE PLESSIS TREVISE" T11 "T11 Plaine Centrale - Haut Val-de-Marne - Plateau Briand"
94019 18304 94430 CHENNEVIERES-SUR-MARNE 94430 18304 18304 18304 1 "CHENNEVIERES SUR MARNE" 94430 "CHENNEVIERES SUR MARNE" T11 "T11 Plaine Centrale - Haut Val-de-Marne - Plateau Briand"
94048 4861 94440 MAROLLES-EN-BRIE 94440 18220 18220 18220 1 "MAROLLES EN BRIE" 94440 "MAROLLES EN BRIE" T11 "T11 Plaine Centrale - Haut Val-de-Marne - Plateau Briand"
94070 3651 94440 SANTENY 94440 18220 18220 18220 1 SANTENY 94440 SANTENY T11 "T11 Plaine Centrale - Haut Val-de-Marne - Plateau Briand"
94075 9708.00000000005 94440 VILLECRESNES 94440 18220 18220 18220 1 VILLECRESNES 94440 VILLECRESNES T11 "T11 Plaine Centrale - Haut Val-de-Marne - Plateau Briand"
94044 21103 94450 LIMEIL-BREVANNES 94450 21103 21103 21103 1 "LIMEIL BREVANNES" 94450 "LIMEIL BREVANNES" T11 "T11 Plaine Centrale - Haut Val-de-Marne - Plateau Briand"
94074 12231 94460 VALENTON 94460 12231 12231 12231 1 VALENTON 94460 VALENTON T12 "T12 Val de Bièvres - Seine Amont - Grand Orly"
94004 16483 94470 BOISSY-SAINT-LEGER 94470 16483 16483 16483 1 "BOISSY ST LEGER" 94470 "BOISSY ST LEGER" T11 "T11 Plaine Centrale - Haut Val-de-Marne - Plateau Briand"
94001 5327 94480 ABLON-SUR-SEINE 94480 5327 5327 5327 1 "ABLON SUR SEINE" 94480 "ABLON SUR SEINE" T12 "T12 Val de Bièvres - Seine Amont - Grand Orly"
94055 9945.00000000001 94490 ORMESSON-SUR-MARNE 94490 9945 9945 9945.00000000001 1 "ORMESSON SUR MARNE" 94490 "ORMESSON SUR MARNE" T11 "T11 Plaine Centrale - Haut Val-de-Marne - Plateau Briand"
94017 75869 94500 CHAMPIGNY-SUR-MARNE 94500 75869 75869 75869 1 "CHAMPIGNY SUR MARNE" 94500 "CHAMPIGNY SUR MARNE" T10 "T10 ACTEP"
94060 11733 94510 "LA QUEUE-EN-BRIE" 94510 11733 11733 11733 1 "LA QUEUE EN BRIE" 94510 "LA QUEUE EN BRIE" T11 "T11 Plaine Centrale - Haut Val-de-Marne - Plateau Briand"
94047 4407 94520 MANDRES-LES-ROSES 94520 6892 6892 6892 1 "MANDRES LES ROSES" 94520 "MANDRES LES ROSES" T11 "T11 Plaine Centrale - Haut Val-de-Marne - Plateau Briand"
94056 2485 94520 PERIGNY 94520 6892 6892 6892 1 PERIGNY 94520 "PERIGNY SUR YERRES" T11 "T11 Plaine Centrale - Haut Val-de-Marne - Plateau Briand"
94021 18786 94550 CHEVILLY-LARUE 94550 18786 18786 18786 1 "CHEVILLY LARUE" 94550 "CHEVILLY LARUE" T12 "T12 Val de Bièvres - Seine Amont - Grand Orly"
94022 41507 94600 CHOISY-LE-ROI 94600 41507 41507 41507 1 "CHOISY LE ROI" 94600 "CHOISY LE ROI" T12 "T12 Val de Bièvres - Seine Amont - Grand Orly"
94046 54186 94700 MAISONS-ALFORT 94700 54186 54186 54186 1 "MAISONS ALFORT" 94700 "MAISONS ALFORT" T10 "T10 ACTEP"
94076 56504 94800 VILLEJUIF 94800 56504 56504 56504 1 VILLEJUIF 94800 VILLEJUIF T12 "T12 Val de Bièvres - Seine Amont - Grand Orly"
94053 4689 94880 NOISEAU 94880 4689 4689 4689 1 NOISEAU 94880 NOISEAU T11 "T11 Plaine Centrale - Haut Val-de-Marne - Plateau Briand"
95018 104962 95100 ARGENTEUIL 95100 104962 104962 104962 1 ARGENTEUIL 95100 ARGENTEUIL T5 "T5 Boucle Nord 92"
